tier_index,level_requirement,skill,action_seconds,overhead_seconds,effective_cycle_seconds,proposed_respawn_seconds,minimum_cluster_nodes_per_active_player
1,1,mining,3.23,2.4,5.63,32,6
1,1,woodcutting,3.03,2.4,5.43,30,6
1,1,gathering,2.42,2.4,4.82,26,6
1,1,fishing,3.5,2,5.5,,
1,1,smithing,1.62,8,9.62,,
1,1,skinning,1.61,6,7.61,,
1,1,tailoring,1.61,7,8.61,,
1,1,cooking,1.61,7,8.61,,
1,1,alchemy,1.81,7,8.81,,
2,10,mining,3.48,2.4,5.88,36,7
2,10,woodcutting,3.26,2.4,5.66,33,6
2,10,gathering,2.62,2.4,5.02,29,6
2,10,fishing,3.5,2,5.5,,
2,10,smithing,1.78,8,9.78,,
2,10,skinning,1.72,6,7.72,,
2,10,tailoring,1.74,7,8.74,,
2,10,cooking,1.74,7,8.74,,
2,10,alchemy,1.94,7,8.94,,
3,20,mining,3.76,2.4,6.16,40,7
3,20,woodcutting,3.52,2.4,5.92,37,7
3,20,gathering,2.84,2.4,5.24,32,7
3,20,fishing,3.5,2,5.5,,
3,20,smithing,1.96,8,9.96,,
3,20,skinning,1.84,6,7.84,,
3,20,tailoring,1.88,7,8.88,,
3,20,cooking,1.88,7,8.88,,
3,20,alchemy,2.08,7,9.08,,
4,30,mining,4.04,2.4,6.44,43,7
4,30,woodcutting,3.78,2.4,6.18,40,7
4,30,gathering,3.06,2.4,5.46,35,7
4,30,fishing,3.5,2,5.5,,
4,30,smithing,2.14,8,10.14,,
4,30,skinning,1.96,6,7.96,,
4,30,tailoring,2.02,7,9.02,,
4,30,cooking,2.02,7,9.02,,
4,30,alchemy,2.22,7,9.22,,
5,40,mining,4.32,2.4,6.72,47,8
5,40,woodcutting,4.04,2.4,6.44,44,7
5,40,gathering,3.28,2.4,5.68,38,7
5,40,fishing,3.5,2,5.5,,
5,40,smithing,2.32,8,10.32,,
5,40,skinning,2.08,6,8.08,,
5,40,tailoring,2.16,7,9.16,,
5,40,cooking,2.16,7,9.16,,
5,40,alchemy,2.36,7,9.36,,
6,50,mining,4.6,2.4,7,51,8
6,50,woodcutting,4.3,2.4,6.7,47,8
6,50,gathering,3.5,2.4,5.9,41,7
6,50,fishing,3.5,2,5.5,,
6,50,smithing,2.5,8,10.5,,
6,50,skinning,2.2,6,8.2,,
6,50,tailoring,2.3,7,9.3,,
6,50,cooking,2.3,7,9.3,,
6,50,alchemy,2.5,7,9.5,,
7,60,mining,4.88,2.4,7.28,55,8
7,60,woodcutting,4.56,2.4,6.96,50,8
7,60,gathering,3.72,2.4,6.12,44,8
7,60,fishing,3.5,2,5.5,,
7,60,smithing,2.68,8,10.68,,
7,60,skinning,2.32,6,8.32,,
7,60,tailoring,2.44,7,9.44,,
7,60,cooking,2.44,7,9.44,,
7,60,alchemy,2.64,7,9.64,,
8,70,mining,5.16,2.4,7.56,59,8
8,70,woodcutting,4.82,2.4,7.22,54,8
8,70,gathering,3.94,2.4,6.34,47,8
8,70,fishing,3.5,2,5.5,,
8,70,smithing,2.86,8,10.86,,
8,70,skinning,2.44,6,8.44,,
8,70,tailoring,2.58,7,9.58,,
8,70,cooking,2.58,7,9.58,,
8,70,alchemy,2.78,7,9.78,,
9,80,mining,5.44,2.4,7.84,62,8
9,80,woodcutting,5.08,2.4,7.48,57,8
9,80,gathering,4.16,2.4,6.56,50,8
9,80,fishing,3.5,2,5.5,,
9,80,smithing,3.04,8,11.04,,
9,80,skinning,2.56,6,8.56,,
9,80,tailoring,2.72,7,9.72,,
9,80,cooking,2.72,7,9.72,,
9,80,alchemy,2.92,7,9.92,,
10,90,mining,5.72,2.4,8.12,66,9
10,90,woodcutting,5.34,2.4,7.74,61,8
10,90,gathering,4.38,2.4,6.78,53,8
10,90,fishing,3.5,2,5.5,,
10,90,smithing,3.22,8,11.22,,
10,90,skinning,2.68,6,8.68,,
10,90,tailoring,2.86,7,9.86,,
10,90,cooking,2.86,7,9.86,,
10,90,alchemy,3.06,7,10.06,,
11,100,mining,6,2.4,8.4,70,9
11,100,woodcutting,5.6,2.4,8,64,8
11,100,gathering,4.6,2.4,7,56,8
11,100,fishing,3.5,2,5.5,,
11,100,smithing,3.4,8,11.4,,
11,100,skinning,2.8,6,8.8,,
11,100,tailoring,3,7,10,,
11,100,cooking,3,7,10,,
11,100,alchemy,3.2,7,10.2,,
12,110,mining,6.28,2.4,8.68,74,9
12,110,woodcutting,5.86,2.4,8.26,67,9
12,110,gathering,4.82,2.4,7.22,59,9
12,110,fishing,3.5,2,5.5,,
12,110,smithing,3.58,8,11.58,,
12,110,skinning,2.92,6,8.92,,
12,110,tailoring,3.14,7,10.14,,
12,110,cooking,3.14,7,10.14,,
12,110,alchemy,3.34,7,10.34,,
13,120,mining,6.56,2.4,8.96,78,9
13,120,woodcutting,6.12,2.4,8.52,71,9
13,120,gathering,5.04,2.4,7.44,62,9
13,120,fishing,3.5,2,5.5,,
13,120,smithing,3.76,8,11.76,,
13,120,skinning,3.04,6,9.04,,
13,120,tailoring,3.28,7,10.28,,
13,120,cooking,3.28,7,10.28,,
13,120,alchemy,3.48,7,10.48,,
14,130,mining,6.84,2.4,9.24,81,9
14,130,woodcutting,6.38,2.4,8.78,74,9
14,130,gathering,5.26,2.4,7.66,65,9
14,130,fishing,3.5,2,5.5,,
14,130,smithing,3.94,8,11.94,,
14,130,skinning,3.16,6,9.16,,
14,130,tailoring,3.42,7,10.42,,
14,130,cooking,3.42,7,10.42,,
14,130,alchemy,3.62,7,10.62,,
15,140,mining,7.12,2.4,9.52,85,9
15,140,woodcutting,6.64,2.4,9.04,78,9
15,140,gathering,5.48,2.4,7.88,68,9
15,140,fishing,3.5,2,5.5,,
