level,xp_to_next,cumulative_xp,target_cumulative_hours,target_minutes_per_level,benchmark_combat_cycle_seconds,benchmark_combat_xp_per_hour
1,114,0,0,3.333,6,20400
2,132,114,0.055556,3.333,8,25650
3,152,246,0.111111,3.333,11,31091
4,174,398,0.166667,3.333,12,34800
5,201,572,0.222222,3.333,13,39046
6,231,773,0.277778,3.333,14,44229
7,266,1004,0.333333,3.333,17,44471
8,305,1270,0.388889,3.333,18,47400
9,351,1575,0.444444,3.333,19,50400
10,404,1926,0.5,6,15,72000
11,465,2330,0.6,6,16,73800
12,535,2795,0.7,6,16,80775
13,615,3330,0.8,6,17,83224
14,707,3945,0.9,6,18,86000
15,813,4652,1,6,20,85140
16,935,5465,1.1,6,20,89280
17,1076,6400,1.2,6,21,89143
18,1237,7476,1.3,6,21,93943
19,1423,8713,1.4,6,22,94582
20,1636,10136,1.5,9,16,137025
21,1882,11772,1.65,9,17,135953
22,2164,13654,1.8,9,17,143365
23,2489,15818,1.95,9,18,142800
24,2862,18307,2.1,9,18,148000
25,3291,21169,2.25,9,18,153200
26,3785,24460,2.4,9,19,150253
27,4353,28245,2.55,9,19,155747
28,5006,32598,2.7,9,19,161242
29,5757,37604,2.85,9,19,167116
30,6621,43361,3,15,16,205425
31,7614,49982,3.25,15,17,200329
32,8756,57596,3.5,15,17,207529
33,10069,66352,3.75,15,17,214941
34,11580,76421,4,15,18,210400
35,13317,88001,4.25,15,18,218000
36,15315,101318,4.5,15,18,225800
37,17612,116633,4.75,15,19,219979
38,20254,134245,5,15,19,226421
39,23292,154499,5.25,15,19,232863
40,26786,177791,5.5,24,17,267671
41,30804,204577,5.9,24,18,260000
42,35424,235381,6.3,24,18,265800
43,40738,270805,6.7,24,18,271600
44,46849,311543,7.1,24,18,277600
45,53876,358392,7.5,24,18,283800
46,61958,412268,7.9,24,18,290000
47,71252,474226,8.3,24,19,280800
48,81940,545478,8.7,24,19,287053
49,94231,627418,9.1,24,19,293495
50,108365,721649,9.5,30,18,316600
51,161800,830014,10,30,18,323600
52,161801,991814,10.5,30,19,313389
53,161802,1153615,11,30,19,320211
54,163705,1315417,11.5,30,19,327411
55,167305,1479122,12,30,19,334611
56,170147,1646427,12.5,30,19,340295
57,173084,1816574,13,30,19,346168
58,173085,1989658,13.5,30,20,334620
59,173086,2162743,14,30,20,340380
60,269220,2335829,14.5,42,18,384600
61,269221,2605049,15.2,42,19,370611
62,269222,2874270,15.9,42,19,377053
63,269223,3143492,16.6,42,19,383495
64,273088,3412715,17.3,42,19,390126
65,277731,3685803,18,42,19,396758
66,282505,3963534,18.7,42,19,403579
67,287413,4246039,19.4,42,19,410589
68,287414,4533452,20.1,42,20,396720
69,287415,4820866,20.8,42,20,403560
70,432000,5108281,21.5,60,19,432000
71,439579,5540281,22.5,60,19,439579
72,446968,5979860,23.5,60,19,446968
73,454737,6426828,24.5,60,19,454737
74,454738,6881565,25.5,60,20,437040
75,454739,7336303,26.5,60,20,442080
76,454740,7791042,27.5,60,20,447300
77,454741,8245782,28.5,60,20,452520
78,457920,8700523,29.5,60,20,457920
79,463140,9158443,30.5,60,20,463140
80,641160,9621583,31.5,78,19,493200
81,648796,10262743,32.8,78,19,499074
82,656432,10911539,34.1,78,19,504947
83,664067,11567971,35.4,78,19,510821
84,664068,12232038,36.7,78,20,490860
85,664069,12896106,38,78,20,496620
86,664070,13560175,39.3,78,20,502380
87,664071,14224245,40.6,78,20,508320
88,668538,14888316,41.9,78,20,514260
89,675324,15556854,43.2,78,20,519480
90,884008,16232178,44.5,96,19,552505
91,893103,17116186,46.1,96,19,558189
92,902198,18009289,47.7,96,19,563874
93,902199,18911487,49.3,96,20,541260
94,902200,19813686,50.9,96,20,546840
95,902201,20715886,52.5,96,20,552420
96,902202,21618087,54.1,96,20,558180
97,902304,22520289,55.7,96,20,563940
98,911520,23422593,57.3,96,20,569700
99,920736,24334113,58.9,96,20,575460
100,1224000,25254849,60.5,120,19,612000
101,1224001,26478849,62.5,120,20,587520
102,1224002,27702850,64.5,120,20,593460
103,1224003,28926852,66.5,120,20,599580
104,1224004,30150855,68.5,120,20,605700
