tier_index,level_requirement,scenario,ttk_seconds,ttd_seconds,expected_damage_dealt,expected_damage_taken,attack_interval_seconds
1,1,noGear,10,9,2.25,3.714,1
1,1,heavyPlus0,3,24,7.7,1.286,1
1,1,lightPlus0,2.88,13.44,8.606,2.286,0.96
1,1,heavyPlus31,2,24,11.286,1.286,1
1,1,lightPlus31,1.92,13.44,13.104,2.286,0.96
1,1,light_plus0_with_food_and_potion,2.334,19.739,8.606,2.286,0.96
2,10,noGear,31,5,6,19.099,1
2,10,heavyPlus0,12,19,15.903,4.428,1
2,10,lightPlus0,8.37,9.3,22.194,9.099,0.93
2,10,heavyPlus31,9,21,22.194,4.088,1
2,10,lightPlus31,5.58,9.3,35.696,8.604,0.93
2,10,light_plus0_with_food_and_potion,7.154,13.899,22.194,9.099,0.93
3,20,noGear,36,5,10.594,34.45,1
3,20,heavyPlus0,13,20,29.5,7.289,1
3,20,lightPlus0,9,9,41.199,15.465,0.9
3,20,heavyPlus31,10,22,41.199,6.638,1
3,20,lightPlus31,5.4,9,65.5,14.983,0.9
3,20,light_plus0_with_food_and_potion,7.806,15.984,41.199,15.465,0.9
4,30,noGear,36,5,16.404,46.399,1
4,30,heavyPlus0,13,21,45.2,9.911,1
4,30,lightPlus0,8.7,8.7,61.403,20.924,0.87
4,30,heavyPlus31,10,23,63.2,9.257,1
4,30,lightPlus31,5.22,8.7,97.397,20.444,0.87
4,30,light_plus0_with_food_and_potion,7.638,14.313,61.403,20.924,0.87
5,40,noGear,37,5,21.799,59.202,1
5,40,heavyPlus0,14,22,57.799,12.512,1
5,40,lightPlus0,9.24,8.4,78.5,26.734,0.84
5,40,heavyPlus31,10,23,80.3,11.54,1
5,40,lightPlus31,5.88,9.24,123.5,25.777,0.84
5,40,light_plus0_with_food_and_potion,7.993,13.27,78.5,26.734,0.84
6,50,noGear,36,5,28,69.451,1
6,50,heavyPlus0,15,22,67.601,15.177,1
6,50,lightPlus0,8.91,8.91,91,31.979,0.81
6,50,heavyPlus31,11,24,91.901,13.869,1
6,50,lightPlus31,6.48,8.91,141.4,30.539,0.81
6,50,light_plus0_with_food_and_potion,7.681,13.469,91,31.979,0.81
7,60,noGear,35,5,34.598,78.849,1
7,60,heavyPlus0,15,23,80.5,17.199,1
7,60,lightPlus0,9.36,8.58,107.5,35.907,0.78
7,60,heavyPlus31,12,25,109.301,15.895,1
7,60,lightPlus31,6.24,9.36,166,34.48,0.78
7,60,light_plus0_with_food_and_potion,8.09,13.142,107.5,35.907,0.78
8,70,noGear,35,6,41.201,88.251,1
