tier_index,level_requirement,skill,target_minutes_per_level,effective_cycle_seconds,target_actions_per_level,xp_per_action,modeled_minutes_per_level,modeled_xp_per_hour
1,1,combat,3.333,6,3,34,0.34,20400
1,1,mining,3.333,5.63,36,3,3.57,1918
1,1,woodcutting,3.333,5.43,37,3,3.44,1989
1,1,gathering,3.333,4.82,41,3,3.05,2241
1,1,fishing,3.333,5.5,36,3,3.48,1964
1,1,smithing,3.333,9.62,21,5,3.66,1871
1,1,skinning,3.333,7.61,26,4,3.61,1892
1,1,tailoring,3.333,8.61,23,5,3.27,2091
1,1,cooking,3.333,8.61,23,5,3.27,2091
1,1,alchemy,3.333,8.81,23,5,3.35,2043
2,10,combat,6,15,1,300,0.34,72000
2,10,mining,6,5.88,61,7,5.66,4286
2,10,woodcutting,6,5.66,64,6,6.35,3816
2,10,gathering,6,5.02,72,6,5.63,4303
2,10,fishing,6,5.5,65,6,6.17,3927
2,10,smithing,6,9.78,37,11,5.99,4049
2,10,skinning,6,7.72,47,9,5.78,4197
2,10,tailoring,6,8.74,41,10,5.88,4119
2,10,cooking,6,8.74,41,10,5.88,4119
2,10,alchemy,6,8.94,40,10,6.02,4027
3,20,combat,9,16,3,609,0.72,137025
3,20,mining,9,6.16,88,19,8.84,11104
3,20,woodcutting,9,5.92,91,18,8.97,10946
3,20,gathering,9,5.24,103,16,8.93,10992
3,20,fishing,9,5.5,98,17,8.82,11127
3,20,smithing,9,9.96,54,30,9.05,10843
3,20,skinning,9,7.84,69,24,8.91,11020
3,20,tailoring,9,8.88,61,27,8.97,10946
3,20,cooking,9,8.88,61,27,8.97,10946
3,20,alchemy,9,9.08,59,28,8.84,11101
4,30,combat,15,16,7,913,1.93,205425
4,30,mining,15,6.44,140,47,15.12,26273
4,30,woodcutting,15,6.18,146,45,15.15,26214
4,30,gathering,15,5.46,165,40,15.06,26374
4,30,fishing,15,5.5,164,40,15.17,26182
4,30,smithing,15,10.14,89,74,15.12,26272
4,30,skinning,15,7.96,113,59,14.89,26683
4,30,tailoring,15,9.02,100,66,15.08,26341
4,30,cooking,15,9.02,100,66,15.08,26341
4,30,alchemy,15,9.22,98,68,14.96,26551
5,40,combat,24,17,21,1264,6,267671
5,40,mining,24,6.72,214,125,24,66964
5,40,woodcutting,24,6.44,224,120,23.96,67081
5,40,gathering,24,5.68,254,105,24.15,66549
5,40,fishing,24,5.5,262,102,24.07,66764
5,40,smithing,24,10.32,140,191,24.12,66628
5,40,skinning,24,8.08,178,150,24.05,66832
5,40,tailoring,24,9.16,157,171,23.91,67205
5,40,cooking,24,9.16,157,171,23.91,67205
5,40,alchemy,24,9.36,154,174,24.02,66923
6,50,combat,30,18,68,1583,20.54,316600
6,50,mining,30,7,257,422,29.96,217029
6,50,woodcutting,30,6.7,269,403,30.03,216537
6,50,gathering,30,5.9,305,355,30.02,216610
6,50,fishing,30,5.5,327,331,30.01,216655
6,50,smithing,30,10.5,171,634,29.91,217371
6,50,skinning,30,8.2,220,493,30.04,216439
