tier_index,level_requirement,theme,new_monster_id,monster_hp,monster_attack,monster_defense,monster_xp,gold_min,gold_max,weapon_attack,heavy_defense,light_defense,light_attack,light_speed,food_heal,food_npc_value,potion_damage_boost,potion_hits,potion_npc_value,monster_gold_per_hour,raw_npc_floor,node_npc_floor_per_hour,bar_npc_floor,recipe_npc_margin_per_hour,weapon_npc_value,armor_npc_value,market_fee_pct,weapon_upgrade_to_31,weapon_upgrade_to_100,armor_upgrade_to_31,armor_upgrade_to_100,weapon_plus31_reach_hours,weapon_plus100_reach_hours,armor_plus31_reach_hours,armor_plus100_reach_hours
1,1,Copper,,22,5,2,34,4,12,6,5,3.3,1,0.04,15,12,2,8,35,4800,6,3837,15,1123,70,70,5,28170,160385,28170,160385,5.87,33.41,5.87,33.41
2,10,Bronze,goblin_brute,184,26,13,300,31,68,11,31,20.2,7,0.07,45,34,3,25,65,11880,15,9184,35,1840,150,165,5,60360,343630,66400,377985,5.08,28.93,5.59,31.82
3,20,Iron,ironback_boar,377,47,24,609,80,179,21,58,37.7,13,0.1,120,90,5,30,135,29138,35,20455,85,5422,360,395,5,144905,824770,158995,904940,4.97,28.31,5.46,31.06
4,30,Steel,mithril_stalker,576,64,32,913,113,238,32,78,50.7,18,0.13,135,95,7,30,190,39488,55,30745,130,7101,550,605,5,221370,1260040,243500,1386055,5.61,31.91,6.17,35.1
5,40,Mithril,,797,82,41,1264,156,312,40,100,65,23,0.16,155,100,10,30,275,49553,70,37500,170,10465,720,785,5,289800,1649510,315950,1798415,5.85,33.29,6.38,36.29
6,50,Sunsteel,desert_raider,996,97,48,1583,192,374,44,116,75.4,26,0.19,180,105,12,33,340,56600,85,43714,205,12000,865,950,5,348160,1981710,382360,2176425,6.15,35.01,6.76,38.45
7,60,Runite,dune_devourer,1206,111,54,1923,229,436,51,132,85.8,30,0.22,210,130,14,33,430,66500,110,54396,265,15169,1120,1225,5,450785,2565890,493065,2806480,6.78,38.58,7.41,42.2
8,70,Shadowsteel,cursed_knight,1426,125,60,2280,267,499,57,148,96.2,34,0.25,245,140,18,35,505,72568,115,54762,275,14917,1165,1275,5,468910,2668985,513160,2920950,6.46,36.78,7.07,40.25
9,80,Froststeel,frost_troll,1640,137,66,2603,304,572,63,161,104.7,37,0.25,300,180,19,35,555,82989,135,61990,325,17935,1375,1505,5,553430,3150070,605740,3447900,6.67,37.96,7.3,41.55
10,90,Wyrmsteel,frost_revenant,1858,148,71,2916,342,652,70,173,112.5,39,0.25,340,210,22,35,670,94168,160,70936,385,20856,1630,1780,5,656055,3734275,716425,4077925,6.97,39.66,7.61,43.3
11,100,Glacial,,2080,159,77,3230,380,735,77,182,118.3,41,0.25,650,700,30,35,955,105632,185,79286,445,23684,1885,2060,5,758695,4318495,829125,4719410,7.18,40.88,7.85,44.68
12,110,Starsteel,glacial_guardian,2292,170,82,3542,417,813,85,194,126.1,44,0.25,700,705,31,35,1015,116526,210,87097,505,26425,2135,2335,5,859305,4891220,939820,5349430,7.37,41.98,8.07,45.91
13,120,Voidsteel,wyrm_knight,2488,180,85,3845,452,882,94,205,133.3,47,0.25,755,710,33,35,1085,126379,235,94420,565,29082,2390,2615,5,961945,5475420,1052520,5990895,7.61,43.33,8.33,47.4
14,130,Wyrmforged,void_wraith,2701,191,89,4174,491,958,104,218,141.7,50,0.25,815,715,38,35,1280,137274,265,103247,635,31658,2690,2940,5,1082705,6162725,1183320,6735460,7.89,44.89,8.62,49.07
15,140,Ancient,,2932,203,93,4531,533,1040,115,233,151.5,53,0.25,880,720,43,35,1470,149021,295,111555,710,35644,3005,3285,5,1209475,6884355,1322195,7525870,8.12,46.2,8.87,50.5
16,150,Ascendant,ascendant_wyrm,3183,215,97,4919,579,1128,127,245,159.3,56,0.25,950,790,48,35,1775,170700,350,128571,840,40976,3555,3885,5,1430850,8144385,1563675,8900415,8.38,47.71,9.16,52.14
